Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time
203,23.6,33.9,0.0,4.0,0.0,1.0,0,0,0.5805492401123047
204,23.4,34.2,0.0,4.0,0.0,1.0,2,0,0.5943775177001953
205,23.4,34.2,0.0,4.0,0.0,1.0,0,0,0.5927085876464844
206,23.2,34.4,0.0,4.0,0.0,4.0,0,0,0.5500316619873047
207,24.6,33.4,0.0,4.0,0.0,1.0,0,0,0.6558895111083984
208,23.1,34.0,0.0,4.0,0.0,1.0,2,0,0.6382465362548828
209,23.7,33.6,0.0,4.0,0.0,4.0,0,0,0.5984306335449219
210,23.6,34.6,0.0,4.0,0.0,4.0,0,0,0.5972385406494141
211,24.0,35.2,0.0,4.0,0.0,1.0,0,0,0.5955696105957031
212,24.0,33.0,0.0,4.0,0.0,1.0,2,0,0.6914138793945312
213,24.8,31.2,0.0,4.0,0.0,1.0,2,0,0.6079673767089844
214,24.4,32.4,11.0,1.0,1.0,1.0,2,0,0.5884170532226562
215,24.6,32.5,0.0,4.0,0.0,1.0,2,0,0.6208419799804688
216,24.0,31.6,14.3,1.0,1.0,1.0,2,0,0.6277561187744141
217,24.4,34.4,0.0,4.0,0.0,1.0,2,0,0.6246566772460938
218,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.5650520324707031
219,23.2,34.2,0.0,4.0,0.0,1.0,2,0,0.5552768707275391
220,23.4,32.5,24.6,3.0,2.0,1.0,2,0,0.5657672882080078
221,22.8,33.3,0.0,4.0,0.0,1.0,2,0,0.5595684051513672
222,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.6134510040283203
223,23.8,33.4,0.0,4.0,0.0,1.0,0,0,0.6494522094726562
224,23.1,33.1,0.0,4.0,0.0,1.0,2,0,0.5972385406494141
225,23.4,33.4,0.0,4.0,0.0,1.0,2,0,0.6642341613769531
226,23.8,32.6,0.0,4.0,0.0,1.0,2,0,0.591278076171875
227,23.8,33.3,0.0,4.0,0.0,1.0,2,0,0.5900859832763672
228,24.0,31.4,0.0,4.0,0.0,1.0,2,0,0.5781650543212891
229,23.4,32.9,1.0,1.0,1.0,1.0,2,0,0.5800724029541016
230,23.2,33.4,0.0,4.0,0.0,1.0,2,0,0.5550384521484375
231,23.2,32.9,0.0,4.0,0.0,4.0,2,0,0.5857944488525391
232,23.6,33.0,0.0,4.0,0.0,1.0,2,0,0.5476474761962891
233,23.6,30.0,0.0,4.0,0.0,1.0,2,0,0.5755424499511719
