Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time,Arduino Prediction,Arduino Execution Time
117,23.0,31.0,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035414
118,23.2,33.0,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035409
119,24.0,34.7,0.0,4.0,0.0,1.0,2,0,0.0001609325408935547,0,0.035419
120,23.2,31.1,0.0,4.0,0.0,1.0,2,0,0.0001609325408935547,0,0.035429
121,23.2,30.4,0.2,1.0,1.0,7.0,2,0,0.00015807151794433594,0,0.035494
122,24.2,29.4,0.5,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035565
123,23.9,29.8,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.035424
124,23.8,27.4,2.0,1.0,1.0,1.0,2,0,0.00015783309936523438,0,0.035591
125,23.6,28.5,16.7,1.0,1.0,1.0,2,0,0.00015473365783691406,0,0.035546
126,23.6,33.0,5.8,1.0,1.0,1.0,2,0,0.00015497207641601562,0,0.035509
127,23.8,31.3,10.8,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035524
128,24.0,31.7,26.3,3.0,2.0,1.0,2,0,0.00015687942504882812,0,0.035525
129,23.5,31.0,11.9,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035533
130,23.8,32.6,0.5,1.0,1.0,1.0,2,0,0.00015735626220703125,0,0.035588
131,24.0,29.8,0.1,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035573
132,24.2,31.8,0.0,4.0,0.0,1.0,2,0,0.00015306472778320312,0,0.035415
133,23.4,33.6,17.5,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035548
134,23.6,34.4,19.0,1.0,1.0,1.0,2,0,0.00015401840209960938,0,0.035558
135,24.0,33.0,0.9,1.0,1.0,1.0,2,0,0.00015425682067871094,0,0.03554
136,24.2,32.5,38.8,3.0,2.0,1.0,2,0,0.00015807151794433594,0,0.03554
137,23.3,32.5,52.4,0.0,3.0,1.0,2,0,0.00015306472778320312,0,0.035539
138,23.4,32.8,2.5,1.0,1.0,1.0,2,0,0.00015401840209960938,0,0.035509
139,23.6,32.8,13.2,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035565
140,23.6,31.4,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035428
141,23.8,33.7,50.3,0.0,3.0,1.0,2,0,0.00015282630920410156,0,0.035464
142,24.0,30.8,4.1,1.0,1.0,1.0,2,0,0.00016117095947265625,0,0.035523
143,24.4,33.2,0.0,4.0,0.0,1.0,2,0,0.0001533031463623047,0,0.03541
144,24.3,30.8,7.5,1.0,1.0,1.0,2,0,0.0001533031463623047,0,0.035529
145,23.2,32.4,15.9,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035651
146,23.4,24.0,15.5,1.0,1.0,1.0,2,0,0.00015807151794433594,0,0.035577
147,24.0,33.3,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035417
148,24.2,33.4,3.6,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035513
149,24.8,33.0,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035416
150,24.2,33.7,30.9,3.0,2.0,1.0,2,0,0.0001537799835205078,0,0.035492
151,23.8,33.0,6.0,1.0,1.0,1.0,2,0,0.00015282630920410156,0,0.035524
152,24.0,33.4,4.3,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035505
153,23.8,35.0,0.0,4.0,0.0,1.0,2,0,0.0001518726348876953,0,0.035425
154,24.8,30.0,3.5,1.0,1.0,1.0,2,0,0.0001518726348876953,0,0.035519
155,23.9,34.2,7.0,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035509
156,24.0,31.8,57.3,0.0,3.0,1.0,2,0,0.00015401840209960938,0,0.035441
157,24.3,32.0,0.0,4.0,0.0,1.0,2,0,0.00015616416931152344,0,0.035519
158,23.0,31.4,18.5,1.0,1.0,1.0,2,0,0.00015997886657714844,0,0.035607
159,22.6,33.6,4.0,1.0,1.0,1.0,2,0,0.00015282630920410156,0,0.035498
160,23.8,33.0,27.5,3.0,2.0,1.0,2,0,0.00015687942504882812,0,0.035554
161,25.4,31.2,16.2,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.03563
162,23.8,33.0,0.5,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.03557
163,23.8,33.8,69.2,0.0,3.0,1.0,2,2,0.0001552104949951172,2,0.035333
164,24.0,33.4,1.6,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035534
165,23.9,33.2,2.8,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035504
166,24.2,32.6,0.0,4.0,0.0,1.0,2,0,0.0001590251922607422,0,0.03547
167,24.8,33.4,2.0,1.0,1.0,1.0,2,0,0.00016021728515625,0,0.035492
168,24.2,32.8,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035435
169,23.8,33.2,6.5,1.0,1.0,1.0,2,0,0.00015807151794433594,0,0.035495
170,23.8,33.4,1.3,1.0,1.0,1.0,2,0,0.0001609325408935547,0,0.035503
171,24.4,31.6,0.0,4.0,0.0,1.0,2,0,0.000164031982421875,0,0.035428
172,24.9,31.4,2.9,1.0,1.0,1.0,2,0,0.00015807151794433594,0,0.035519
173,23.8,33.4,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035411
174,24.0,32.4,8.5,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035531
175,24.0,32.4,11.5,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035602
176,24.2,33.4,3.8,1.0,1.0,1.0,2,0,0.00016188621520996094,0,0.035517
177,24.7,32.6,0.0,4.0,0.0,1.0,0,0,0.00015211105346679688,0,0.035471
178,24.6,33.8,2.5,1.0,1.0,1.0,0,0,0.00015401840209960938,0,0.035506
179,24.0,34.2,0.0,4.0,0.0,1.0,0,0,0.00015687942504882812,0,0.035408
180,25.0,33.6,1.2,1.0,1.0,1.0,0,0,0.00015592575073242188,0,0.035522
181,25.2,33.7,2.6,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035509
182,23.8,33.8,37.2,3.0,2.0,1.0,2,0,0.0001571178436279297,0,0.035439
183,23.4,34.0,62.5,0.0,3.0,1.0,2,0,0.00015592575073242188,0,0.035404
184,23.8,33.4,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035412
185,23.7,34.0,0.7,1.0,1.0,1.0,2,0,0.00015282630920410156,0,0.035532
186,24.8,33.5,0.0,4.0,0.0,1.0,2,0,0.0001537799835205078,0,0.03542
187,24.4,33.2,52.6,0.0,3.0,1.0,2,0,0.00015997886657714844,0,0.035485
188,24.0,34.6,53.9,0.0,3.0,1.0,2,0,0.00015616416931152344,0,0.035401
189,23.7,34.5,0.0,4.0,0.0,1.0,2,0,0.00015783309936523438,0,0.035411
190,24.0,33.8,0.0,4.0,0.0,1.0,0,0,0.00015497207641601562,0,0.035394
191,24.8,34.0,0.0,4.0,0.0,1.0,0,0,0.00015807151794433594,0,0.035428
192,24.6,34.0,0.5,1.0,1.0,1.0,0,0,0.00015497207641601562,0,0.035543
193,24.8,33.6,4.5,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035498
194,24.6,32.4,0.0,4.0,0.0,1.0,2,0,0.00015473365783691406,0,0.035497
195,24.0,32.2,9.2,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035601
196,23.6,32.0,2.0,1.0,1.0,1.0,2,0,0.00015401840209960938,0,0.035583
197,23.8,33.0,0.0,4.0,0.0,1.0,2,0,0.00015211105346679688,0,0.035421
198,22.6,33.2,0.6,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035508
199,23.4,34.0,0.0,4.0,0.0,1.0,2,0,0.00015783309936523438,0,0.035393
200,24.0,34.2,0.0,4.0,0.0,1.0,0,0,0.00015282630920410156,0,0.035409
201,23.6,34.4,0.0,4.0,0.0,1.0,2,0,0.00015497207641601562,0,0.035411
202,23.4,34.6,0.0,4.0,0.0,1.0,0,0,0.00015783309936523438,0,0.03541
203,23.6,33.9,0.0,4.0,0.0,1.0,0,0,0.0001552104949951172,0,0.035391
204,23.4,34.2,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035391
205,23.4,34.2,0.0,4.0,0.0,1.0,0,0,0.0001571178436279297,0,0.03539
206,23.2,34.4,0.0,4.0,0.0,4.0,0,0,0.00015687942504882812,0,0.035351
207,24.6,33.4,0.0,4.0,0.0,1.0,0,0,0.00015306472778320312,0,0.035413
208,23.1,34.0,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035388
209,23.7,33.6,0.0,4.0,0.0,4.0,0,0,0.00015306472778320312,0,0.035356
210,23.6,34.6,0.0,4.0,0.0,4.0,0,0,0.0001590251922607422,0,0.035368
211,24.0,35.2,0.0,4.0,0.0,1.0,0,0,0.00015616416931152344,0,0.03544
212,24.0,33.0,0.0,4.0,0.0,1.0,2,0,0.0001571178436279297,0,0.035421
213,24.8,31.2,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035418
214,24.4,32.4,11.0,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035615
215,24.6,32.5,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035482
216,24.0,31.6,14.3,1.0,1.0,1.0,2,0,0.00015401840209960938,0,0.035601
